1country,year,gdp,unemployment,employment-female,employment-male,employment,employment-15,employment-25,employment-55,expectancy-female,expectancy-male,code,population,Combined,1998event,2000event,2001event,2002event,2009event,hoverevent
AFGHANISTAN,1995,,,58.97618,76.4073,67.73194,,75.16797,41.73399,80.8,75,AFG,,1995 AFG,0,0,0,0,0,
AFGHANISTAN,1996,,,58.92079,76.29502,67.64166,,74.9455,42.3562,81.1,75.2,AFG,,1996 AFG,0,0,0,0,0,
AFGHANISTAN,1997,,,58.87592,75.76854,67.35358,,74.92458,42.69803,81.3,75.6,AFG,,1997 AFG,0,0,0,0,0,
AFGHANISTAN,1998,,,59.57731,76.18668,67.91563,,75.25887,43.86469,81.5,75.9,AFG,,1998 AFG,0,0,0,0,0,
AFGHANISTAN,1999,,,60.03582,76.64407,68.35696,,75.54603,44.30614,81.8,76.2,AFG,,1999 AFG,0,0,0,0,0,
AFGHANISTAN,2000,,,61.44,77.09045,69.26764,,76.34378,46.22453,82,76.6,AFG,,2000 AFG,0,0,0,0,0,
AFGHANISTAN,2001,,,61.67306,76.37852,69.0219,,76.30023,46.7724,82.4,77,AFG,,2001 AFG,0,0,0,0,0,
AFGHANISTAN,2002,181,,62.03537,76.68374,69.35529,,76.70561,48.54367,82.6,77.4,AFG,,2002 AFG,0,0,0,0,0,
AFGHANISTAN,2003,193,,62.9567,77.0284,69.9869,,77.24817,50.30263,82.8,77.8,AFG,,2003 AFG,0,0,0,0,0,
AFGHANISTAN,2004,214,,63.00087,77.60668,70.29794,,77.44061,51.7044,83,78.1,AFG,,2004 AFG,0,0,0,0,0,
AFGHANISTAN,2005,244,,64.59695,78.48016,71.53259,,78.74916,53.50882,83.3,78.5,AFG,,2005 AFG,0,0,0,0,0,
AFGHANISTAN,2006,264,,65.49911,78.81688,72.15391,,79.21494,55.44968,83.5,78.7,AFG,,2006 AFG,0,0,0,0,0,
AFGHANISTAN,2007,319,,66.13304,79.5686,72.84976,,79.97159,56.6093,83.7,79,AFG,,2007 AFG,0,0,0,0,0,
AFGHANISTAN,2008,369,,66.74075,79.66698,73.20745,,80.30764,57.37276,83.7,79.2,AFG,,2008 AFG,0,0,0,0,0,
AFGHANISTAN,2009,427,,66.28682,77.76779,72.033,,79.13431,59.01752,83.9,79.3,AFG,,2009 AFG,0,0,0,0,0,
